video_id,channelId,title,categoryId,publishedAt,view_count,likes,comment_count,sampled_comments,sample_coverage_ratio,owner_top_comments,total_top_comments,owner_replies,total_replies,threads_with_owner_reply,owner_comments_total,audience_comments_total,all_comments_total,owner_engagement_share,response_rate,label_success_views_q75,label_success_likes_q75,likes_per_view_ratio,label_success_lpv_q75,log_owner_engagement_share,log_response_rate
1tOpqS8JNgY,UC_JQGBtA7P0RwkRxd7xpJcA,Anthony Joshua sends message to Dillian Whyte after upset to Alexander Povetkin,17.0,2020-08-23 07:00:00+00:00,1187863.0,12701.0,2809.0,302.0,0.1075115699537201,0.0,250.0,0.0,52.0,0.0,0.0,302.0,302.0,0.0,0.0,0,0,0.010692310476881593,0,0.0,0.0
PEl4ev-fe_s,UCWPB0WpnMIy-g7zncwIhvQg,I Had an Oopsie in College,1.0,2020-08-23 20:00:03+00:00,164671.0,13586.0,1211.0,247.0,0.203963666391412,0.0,240.0,0.0,7.0,0.0,0.0,247.0,247.0,0.0,0.0,0,0,0.08250390171918552,0,0.0,0.0
0O7nC60mHas,UCFN4JkGP_bVhAdBsoV9xftA,Must See Shocking Cody vs Brodie Lee TNT Championship Match | AEW Saturday Night Dynamite 8/22/20,24.0,2020-08-23 00:43:56+00:00,802813.0,20401.0,3887.0,255.0,0.0656032930280421,0.0,247.0,0.0,8.0,0.0,0.0,255.0,255.0,0.0,0.0,0,0,0.025411895422719863,0,0.0,0.0
IhVf_3TeTQE,UCiifkYAs_bq1pt_zbNAzYGg,Gotham Knights - World Premiere Trailer,24.0,2020-08-22 17:34:48+00:00,2225007.0,104684.0,11033.0,329.0,0.0298196320130517,0.0,249.0,0.0,80.0,0.0,0.0,329.0,329.0,0.0,0.0,1,0,0.04704884074522013,0,0.0,0.0
6jKjB0XT-oE,UC9UrqyY1mljZF6rfyDT-ENA,jxdn - Pray (Official Video),10.0,2020-08-21 22:00:09+00:00,2045985.0,342666.0,15944.0,427.0,0.0267812343201204,1.0,246.0,0.0,181.0,0.0,1.0,426.0,427.0,0.0023419203747072,0.0,0,1,0.16748216629154172,1,0.0023391823531721785,0.0
bXqZllqGWGQ,UCRXiA3h1no_PFkb1JCP0yMA,Congresswoman Alexandria Ocasio-Cortez's Guide to Her Signature Red Lip | Beauty Secrets | Vogue,26.0,2020-08-21 17:07:02+00:00,1414020.0,132720.0,12834.0,290.0,0.0225962287673367,0.0,247.0,0.0,43.0,0.0,0.0,290.0,290.0,0.0,0.0,0,1,0.09386005855645606,1,0.0,0.0
4OtIUIjx0s4,UCSaPKJpNd-Mkm6hhelIYSlQ,POP SMOKE - MOOD SWINGS ft. Lil Tjay (Visualizer),10.0,2020-08-20 18:05:43+00:00,5124764.0,197819.0,9020.0,269.0,0.0298226164079822,0.0,249.0,0.0,20.0,0.0,0.0,269.0,269.0,0.0,0.0,1,1,0.038600606779160954,0,0.0,0.0
53PcrhnHuwQ,UC-SV8-bUJfXjrRMnp7F8Wzw,We Can't Hide This Anymore!,22.0,2020-08-20 18:49:37+00:00,4345373.0,348704.0,61508.0,390.0,0.0063406386161149,0.0,235.0,0.0,155.0,0.0,0.0,390.0,390.0,0.0,0.0,1,1,0.08024719627060783,0,0.0,0.0
bTOoY5MIkvM,UCtQMmwBJGvINGU0lZ_GrZKQ,Pharrell Williams - Entrepreneur (Official Video) ft. JAY-Z,10.0,2020-08-21 04:00:09+00:00,2927514.0,131783.0,9229.0,290.0,0.0314226893487918,0.0,248.0,0.0,42.0,0.0,0.0,290.0,290.0,0.0,0.0,1,0,0.04501532699758225,0,0.0,0.0
8LqIYvy5jhs,UChFLDvWugOtrzxmUCAjfnGg,42 Dugg - Free Merey (Official Video),10.0,2020-08-21 12:00:02+00:00,1717804.0,32411.0,1317.0,304.0,0.2308276385725133,0.0,239.0,0.0,65.0,0.0,0.0,304.0,304.0,0.0,0.0,0,0,0.018867693869614927,0,0.0,0.0
